Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.39     0.00        6     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.39     0.00        6     0.00     0.00  std::_Iter_base<Connection**, false>::_S_base(Connection**)
  0.00      0.39     0.00        6     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_allocate_map(unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_deallocate_map(Operation**, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_impl::_Vector_impl()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_impl::~_Vector_impl()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_deallocate(Operation*, unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_get_Tp_allocator()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_Vector_base()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::~_Vector_base()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<Connection*, std::allocator<Connection*> >::_M_get_Tp_allocator()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::_Vector_impl()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::~_Vector_impl()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_base()
  0.00      0.39     0.00        6     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00      0.39     0.00        6     0.00     0.24  void std::__uninitialized_fill_n<true>::__uninit_fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::vector()
  0.00      0.39     0.00        6     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::~vector()
  0.00      0.39     0.00        6     0.00     1.67  std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     1.67  std::vector<unsigned long, std::allocator<unsigned long> >::insert(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     1.67  std::vector<unsigned long, std::allocator<unsigned long> >::resize(unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector()
  0.00      0.39     0.00        6     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.00      0.39     0.00        6     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned long>::__value, unsigned long*>::__type std::__fill_n_a<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     0.00  std::_Niter_base<Connection**>::iterator_type std::__niter_base<Connection**>(Connection**)
  0.00      0.39     0.00        6     0.00     0.24  void std::uninitialized_fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      0.39     0.00        6     0.00     0.24  void std::__uninitialized_fill_n_a<unsigned long*, unsigned long, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&, std::allocator<unsigned long>&)
  0.00      0.39     0.00        6     0.00     0.00  std::remove_reference<std::_Deque_iterator<Operation, Operation&, Operation*>&>::type&& std::move<std::_Deque_iterator<Operation, Operation&, Operation*>&>(std::_Deque_iterator<Operation, Operation&, Operation*>&&&)
  0.00      0.39     0.00        6     0.00     0.24  unsigned long* std::fill_n<unsigned long*, unsigned long, unsigned long>(unsigned long*, unsigned long, unsigned long const&)
  0.00      0.39     0.00        5     0.00     0.00  update_arg(void*, char**, unsigned int*, unsigned int*, char*, char const**, char const*, cmdline_parser_arg_type, int, int, int, int, char const*, char, char const*)
  0.00      0.39     0.00        5     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      0.39     0.00        5     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_get_Tp_allocator()
  0.00      0.39     0.00        5     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&&&)
  0.00      0.39     0.00        5     0.00     0.00  std::string&& std::forward<std::string>(std::remove_reference<std::string>::type&)
  0.00      0.39     0.00        4     0.00     0.00  clear_given(gengetopt_args_info*)
  0.00      0.39     0.00        4     0.00     0.00  free_multiple_string_field(unsigned int, char***, char***)
  0.00      0.39     0.00        4     0.00     0.00  Connection::write_callback()
  0.00      0.39     0.00        4     0.00     0.00  Exponential::generate(double)
  0.00      0.39     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.39     0.00        4     0.00     0.00  std::_Vector_base<Connection*, std::allocator<Connection*> >::_M_get_Tp_allocator() const
  0.00      0.39     0.00        4     0.00     0.00  std::move_iterator<Connection**>::base() const
  0.00      0.39     0.00        4     0.00     0.00  std::vector<Connection*, std::allocator<Connection*> >::max_size() const
  0.00      0.39     0.00        4     0.00     0.00  std::_Iter_base<std::move_iterator<Connection**>, true>::_S_base(std::move_iterator<Connection**>)
  0.00      0.39     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Connection**>(Connection**, Connection**)
  0.00      0.39     0.00        4     0.00     0.00  std::_Vector_base<Connection*, std::allocator<Connection*> >::_M_deallocate(Connection**, unsigned long)
  0.00      0.39     0.00        4     0.00     0.00  std::move_iterator<Connection**>::move_iterator(Connection**)
  0.00      0.39     0.00        4     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::_Deque_iterator()
  0.00      0.39     0.00        4     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Connection*> >::__maxsize_helper<std::allocator<Connection*> const>::value, unsigned long>::type std::allocator_traits<std::allocator<Connection*> >::_S_max_size<std::allocator<Connection*> const>(std::allocator<Connection*> const&)
  0.00      0.39     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<Connection*> >::max_size(std::allocator<Connection*> const&)
  0.00      0.39     0.00        4     0.00     0.00  std::_Miter_base<std::move_iterator<Connection**> >::iterator_type std::__miter_base<std::move_iterator<Connection**> >(std::move_iterator<Connection**>)
  0.00      0.39     0.00        4     0.00     0.00  std::move_iterator<Connection**> std::__make_move_if_noexcept_iterator<Connection**, std::move_iterator<Connection**> >(Connection**)
  0.00      0.39     0.00        4     0.00     0.00  void std::_Destroy<Connection**>(Connection**, Connection**)
  0.00      0.39     0.00        4     0.00     0.00  void std::_Destroy<Connection**, Connection*>(Connection**, Connection**, std::allocator<Connection*>&)
  0.00      0.39     0.00        3     0.00     0.00  createGenerator(std::string)
  0.00      0.39     0.00        3     0.00     0.00  check_multiple_option_occurrences(char const*, unsigned int, unsigned int, unsigned int, char const*)
  0.00      0.39     0.00        3     0.00     0.00  Connection::issue_something(double)
  0.00      0.39     0.00        3     0.00     0.00  Connection::issue_get(char const*, double)
  0.00      0.39     0.00        3     0.00     0.00  ConnectionStats::print_stats(char const*, LogHistogramSampler&, bool)
  0.00      0.39     0.00        3     0.00     0.00  ConnectionStats::log_op(double)
  0.00      0.39     0.00        3     0.00     0.00  ConnectionStats::log_get(Operation&)
  0.00      0.39     0.00        3     0.00     0.00  LogHistogramSampler::accumulate(LogHistogramSampler const&)
  0.00      0.39     0.00        3     0.00     0.00  LogHistogramSampler::sample(Operation const&)
  0.00      0.39     0.00        3     0.00     0.00  Generator::Generator()
  0.00      0.39     0.00        3     0.00     0.00  Generator::~Generator()
  0.00      0.39     0.00        3     0.00     0.00  bool __gnu_cxx::operator!=<Operation const*, std::vector<Operation, std::allocator<Operation> > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > const&, __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > > const&)
  0.00      0.39     0.00        3     0.00     0.00  Operation::time() const
  0.00      0.39     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      0.39     0.00        3     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::end() const
  0.00      0.39     0.00        3     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::begin() const
  0.00      0.39     0.00        3     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      0.39     0.00        3     0.00     0.00  std::remove_reference<Operation**&>::type&& std::move<Operation**&>(Operation**&&&)
  0.00      0.39     0.00        3     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&&&)
  0.00      0.39     0.00        2     0.00     0.00  clear_args(gengetopt_args_info*)
  0.00      0.39     0.00        2     0.00     0.00  init_args_info(gengetopt_args_info*)
  0.00      0.39     0.00        2     0.00     0.00  update_multiple_arg(void*, char***, unsigned int, unsigned int, generic_value*, cmdline_parser_arg_type, generic_list*)
  0.00      0.39     0.00        2     0.00     0.00  cmdline_parser_release(gengetopt_args_info*)
  0.00      0.39     0.00        2     0.00     5.00  ConnectionStats::ConnectionStats(bool)
  0.00      0.39     0.00        2     0.00     0.00  ConnectionStats::~ConnectionStats()
  0.00      0.39     0.00        2     0.00     0.00  LogHistogramSampler::stddev()
  0.00      0.39     0.00        2     0.00     0.00  LogHistogramSampler::average()
  0.00      0.39     0.00        2     0.00     0.00  Fixed::Fixed(double)
  0.00      0.39     0.00        2     0.00     0.00  Fixed::~Fixed()
  0.00      0.39     0.00        2     0.00     0.00  Fixed::~Fixed()
  0.00      0.39     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Connection*>::deallocate(Connection**, unsigned long)
  0.00      0.39     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Connection*>::allocate(unsigned long, void const*)
  0.00      0.39     0.00        2     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIP10ConnectionE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00      0.39     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Connection*>::new_allocator()
